URL,MobileURL,Date,Title,Relevant
http://www.sfgate.com/news/crime/article/Lincoln-teen-accused-of-holding-handgun-to-girl-s-12344110.php,http://www.sfgate.com/news/crime/amp/Lincoln-teen-accused-of-holding-handgun-to-girl-s-12344110.php,11/9/17 14:00,Lincoln teen accused of holding handgun to girl head,T
http://siouxcityjournal.com/news/state-and-regional/nebraska/lincoln-teen-accused-of-holding-handgun-to-girl-s-head/article_980b2bb4-54fe-5d3d-880d-93b15e1ac3bf.html,,11/9/17 14:00,Lincoln teen accused of holding handgun to girl head | Nebraska news,T
http://www.theindependent.com/news/state/lincoln-teen-accused-of-holding-handgun-to-girl-s-head/article_473e655a-db50-512d-8012-0749b03eaea3.html,,11/9/17 14:45,Lincoln teen accused of holding handgun to girl head | State,T
http://www.newspressnow.com/news/state/lincoln-teen-accused-of-holding-handgun-to-girl-s-head/article_448f4f98-c278-52f7-9be2-5a14fde90ab2.html,,11/9/17 16:00,Lincoln teen accused of holding handgun to girl head | State,T
http://wsar.com/national/18c57885bb11143d9d446295227c8cca,,11/7/17 23:15,National,F
http://abcnewsradioonline.com/national-news/the-role-of-assault-rifles-in-us-mass-shootings.html,,11/7/17 19:15,The role of assault rifles in U . S . mass shootings - National News,F
http://kticradio.com/abc_national/the-role-of-assault-rifles-in-us-mass-shootings-abcid35993232/,,11/7/17 21:30,The role of assault rifles in U . S . mass shootings,F
http://www.wjbdradio.com/national-news/2017/11/07/the-role-of-assault-rifles-in-us-mass-shootings,,11/7/17 21:00,The role of assault rifles in U . S . mass shootings | WJBD,F
http://www.wmay.com/2017/11/07/the-role-of-assault-rifles-in-u-s-mass-shootings/,,11/7/17 22:00,The role of assault rifles in U . S . mass shootings,F
http://wondradio.com/abc-national/18c57885bb11143d9d446295227c8cca,,11/7/17 22:45,Untitled,F
http://www.mycentraloregon.com/2017/11/07/the-role-of-assault-rifles-in-u-s-mass-shootings/,,11/8/17 3:30,The role of assault rifles in U . S . mass shootings,F
https://wfin.com/the-role-of-assault-rifles-in-u-s-mass-shootings/,,11/8/17 3:15,The role of assault rifles in U . S . mass shootings – WFIN,F
http://krvn.com/abc_national/the-role-of-assault-rifles-in-us-mass-shootings-abcid35993232/,,11/7/17 20:15,The role of assault rifles in U . S . mass shootings,F
http://www.ksro.com/2017/11/07/the-role-of-assault-rifles-in-u-s-mass-shootings/,,11/7/17 20:15,The role of assault rifles in U . S . mass shootings,F
https://www.abqjournal.com/1087183/school-shooters-parents-sue-cyfd-over-early-release.html,,11/2/17 23:30,School shooter s parents sue CYFD over early release,F
http://www.nwaonline.com/news/2017/nov/03/accused-in-killing-of-girl-2-seeks-juve/,http://amp.nwadg.com/news/2017/nov/03/accused-in-killing-of-girl-2-seeks-juve/,11/3/17 13:30,17 - year - old accused in killing of Little Rock toddler seeks juvenile status,T
http://www.palmbeachpost.com/news/crime--law/latest-florida-man-who-refused-drop-his-shotgun-fatally-shot-police/aru6cGDoMFRyDsHkDKT8jL/,http://www.palmbeachpost.com/news/crime--law/latest-florida-man-who-refused-drop-his-shotgun-fatally-shot-police/aru6cGDoMFRyDsHkDKT8jL/amp.html,11/3/17 18:00,LATEST : Florida man who refused to drop his shotgun fatally shot by po,F
http://www.mypalmbeachpost.com/news/crime--law/latest-florida-man-who-refused-drop-his-shotgun-fatally-shot-police/aru6cGDoMFRyDsHkDKT8jL/,http://www.mypalmbeachpost.com/news/crime--law/latest-florida-man-who-refused-drop-his-shotgun-fatally-shot-police/aru6cGDoMFRyDsHkDKT8jL/amp.html,11/3/17 18:45,LATEST : Florida man who refused to drop his shotgun fatally shot by police,F
http://www.nwfdailynews.com/news/20171105/teen-and-grandmother-charged-in-pellet-rifle-shooting-incident,,11/5/17 12:15,Teen and grandmother charged in pellet rifle shooting incident - News - Northwest Florida Daily News,F
https://www.policeone.com/Officer-Safety/articles/450036006-Texas-officers-wounded-suspect-killed-in-gun-battle/,,11/2/17 4:15,"Texas officers wounded , suspect killed in gun battle",F
http://www.newschannel10.com/story/36754526/teenager-killed-playing-russian-roulette,,11/3/17 14:00,Teenager killed playing Russian roulette - KFDA,T
http://www.kswo.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 1:45,"Teenager killed playing Russian roulette - KSWO , Lawton , OK - Wichita Falls , TX : News , Weather , Sports . ABC , 24 / 7 , Telemundo",T
http://www.wmbfnews.com/story/36754526/teenager-killed-playing-russian-roulette,,11/3/17 14:00,Teenager killed playing Russian roulette,T
http://www.WLOX.com/story/36754526/teenager-killed-playing-russian-roulette,,11/4/17 1:30,Teenager killed playing Russian roulette - WLOX . com,T
