URL,MobileURL,Date,Title
"http://www.myplainview.com/news/article/When-a-bystander-fired-on-the-Texas-church-12340720.php","","2017-11-08 21:15:00","When a bystander fired on the Texas church shooter , the NRA found its hero"
"http://www.mrt.com/news/article/When-a-bystander-fired-on-the-Texas-church-12340720.php","","2017-11-08 17:45:00","When a bystander fired on the Texas church shooter , the NRA found its hero"
"http://www.startribune.com/no-charges-against-crystal-police-in-shooting-of-teen-who-sought-death-by-cop/454707663/","http://m.startribune.com/no-charges-against-crystal-police-in-shooting-of-teen-who-sought-death-by-cop/454707663/","2017-11-02 16:15:00","Crystal police cleared in wounding teen who aimed disguised BB gun at them"
"http://www.twincities.com/2017/11/02/no-charges-against-crystal-police-officers-in-non-fatal-park-shooting/","http://www.twincities.com/2017/11/02/no-charges-against-crystal-police-officers-in-non-fatal-park-shooting/amp/","2017-11-03 00:30:00","No charges against Crystal police officers in non - fatal park shooting – Twin Cities"
"http://www.statesman.com/news/local/travis-declines-present-fatal-austin-police-shooting-case-jury/2rZNtkhoaUyXZizPT4ReLK/","http://www.statesman.com/news/local/travis-declines-present-fatal-austin-police-shooting-case-jury/2rZNtkhoaUyXZizPT4ReLK/amp.html","2017-11-03 22:00:00","Travis DA declines to present fatal Austin police shooting case to jur"
"http://www.mystatesman.com/news/crime--law/travis-declines-bring-fatal-austin-police-shooting-case-jury/Z6wVGrUYTG9V2JVUUszZ2O/","http://www.mystatesman.com/news/crime--law/travis-declines-bring-fatal-austin-police-shooting-case-jury/Z6wVGrUYTG9V2JVUUszZ2O/amp.html","2017-11-03 23:15:00","Travis DA declines to bring fatal police shooting to jury"
"https://ktar.com/story/1825917/former-rep-gabby-giffords-suing-trump-admin-over-nra-documents/","https://ktar.com/story/1825917/former-rep-gabby-giffords-suing-trump-admin-over-nra-documents/amp/","2017-11-10 16:30:00","Former Rep . Gabby Giffords suing Trump admin over NRA documents"
"http://www.mercurynews.com/2017/11/01/two-men-charged-in-oakland-killing-of-san-leandro-man/","http://www.mercurynews.com/2017/11/01/two-men-charged-in-oakland-killing-of-san-leandro-man/amp/","2017-11-01 22:30:00","Two men charged in Oakland killing of San Leandro man – The Mercury News"
"http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/bn9/2017/11/3/lakeland_police_shoo.html","http://m.baynews9.com/content/mobile/news/baynews9/news/article.touch.html/content/news/articles/bn9/2017/11/3/lakeland_police_shoo","2017-11-03 09:45:00","Lakeland police shoot , kill man , 71 , they say pointed shotgun at officers"
"http://www.baynews9.com/content/mobile/news/baynews9/news/article.touch.html/content/news/articles/bn9/2017/11/3/lakeland_police_shoo.html","","2017-11-03 09:45:00","Lakeland police shoot , kill man , 71 , they say pointed shotgun at officers"
"http://www.foxla.com/news/local-news/suspect-fires-gun-at-sheriffs-deputies-in-compton","http://amp.foxla.com/news/local-news/suspect-fires-gun-at-sheriffs-deputies-in-compton","2017-11-03 02:15:00","Suspect fires gun at sheriff deputies in Compton - Story"
"http://www.mysanantonio.com/news/article/When-a-bystander-fired-on-the-Texas-church-12340720.php","http://m.mysanantonio.com/news/article/When-a-bystander-fired-on-the-Texas-church-12340720.php","2017-11-08 12:45:00","When a bystander fired on the Texas church shooter , the NRA found its hero"
"https://www.mprnews.org/story/2017/11/02/crystal-cops-cleared-khaleel-thompson-shooting","","2017-11-02 18:45:00","Crystal cops cleared in shooting of man in park"
"http://freerepublic.com/focus/f-bloggers/3602109/posts","","2017-11-06 14:00:00","10 Stupidest Gun Accessories Invented"
"http://www.mysanantonio.com/news/local/article/SAPD-officer-injured-in-shootout-Words-can-t-12327262.php","http://www.mysanantonio.com/news/local/amp/SAPD-officer-injured-in-shootout-Words-can-t-12327262.php","2017-11-02 20:45:00","SAPD officer injured in shootout :  Words cant begin to explain how thankful I am  "
"http://minnesota.cbslocal.com/2017/11/02/no-charges-crystal-shooting/","http://minnesota.cbslocal.com/2017/11/02/no-charges-crystal-shooting/amp/","2017-11-02 17:45:00","Freeman : Officers Justified In Shooting Teen In Crystal Park « WCCO"
"http://kfgo.com/news/articles/2017/nov/03/crystal-officers-cleared-in-park-shooting/","","2017-11-03 17:30:00","Crystal officers cleared in park shooting | News"
"http://wjon.com/crystal-officers-cleared-in-park-shooting/","","2017-11-02 19:15:00","Crystal Officers Cleared in Park Shooting"
"http://www.keyc.com/story/36748516/crystal-officers-cleared-in-park-shooting","","2017-11-02 17:15:00","Untitled"
"http://www.washingtontimes.com/news/2017/nov/2/crystal-officers-cleared-in-park-shooting/","http://amp.washingtontimes.com/news/2017/nov/2/crystal-officers-cleared-in-park-shooting/","2017-11-02 17:15:00","Crystal officers cleared in park shooting"
"https://www.seattletimes.com/nation-world/crystal-officers-cleared-in-park-shooting/","","2017-11-02 17:00:00","Crystal officers cleared in park shooting"
"http://lacrossetribune.com/news/state-and-regional/mn/crystal-officers-cleared-in-park-shooting/article_35705c67-19a8-56b8-934e-c120b0913600.html","","2017-11-02 17:15:00","Crystal officers cleared in park shooting | Minnesota"
"http://www.postbulletin.com/news/state/crystal-officers-cleared-in-park-shooting/article_be9ed953-79d2-5308-8ef4-c37a857f900a.html","","2017-11-02 19:00:00","Crystal officers cleared in park shooting | Minnesota"
"http://www.keyc.com/story/36749123/crystal-officers-cleared-in-park-shooting","","2017-11-02 22:00:00","Untitled"
"http://www.dailynews.com/2017/11/09/san-bernardino-officer-cleared-in-2016-fatal-shooting-of-man-armed-with-a-shotgun/","http://www.dailynews.com/2017/11/09/san-bernardino-officer-cleared-in-2016-fatal-shooting-of-man-armed-with-a-shotgun/amp/","2017-11-10 08:15:00","San Bernardino officer cleared in 2016 fatal shooting of man armed with a shotgun – Daily News"
"http://www.dailybulletin.com/2017/11/09/san-bernardino-officer-cleared-in-2016-fatal-shooting-of-man-armed-with-a-shotgun/","http://www.dailybulletin.com/2017/11/09/san-bernardino-officer-cleared-in-2016-fatal-shooting-of-man-armed-with-a-shotgun/amp/","2017-11-10 07:45:00","San Bernardino officer cleared in 2016 fatal shooting of man armed with a shotgun – Daily Bulletin"
"https://www.ammoland.com/2017/11/maxim-50-banned-new-jersey/","https://www.ammoland.com/2017/11/maxim-50-banned-new-jersey/amp/","2017-11-06 15:30:00","Maxim 50 Suppressed Muzzleloader , It NJ What Did You Expect ? "
"http://www.oregonlive.com/today/index.ssf/2017/11/texas_church_shooting_pursuer.html","https://articles.oregonlive.com/today/index.ssf/2017/11/texas_church_shooting_pursuer.amp","2017-11-06 19:45:00","Texas church shooting : Pursuer describes gun battle and 95 mph chase with suspect"
"https://www.adn.com/nation-world/2017/11/06/man-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/","https://www.adn.com/nation-world/2017/11/06/man-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/?outputType=amp-type","2017-11-06 17:00:00","Man describes gun battle and 95 mph chase with Texas shooting suspect"
"http://www.bradenton.com/news/local/crime/article182474781.html","//amp.bradenton.com/news/local/crime/article182474781.html","2017-11-03 14:30:00","Lakeland FL man shot , killed by police after pointing gun at officers , cops say"
"http://www.postsouth.com/news/20171103/accidental-shooting-results-in-death--of-woman-and-arrest-of-grandson","","2017-11-04 05:00:00","Accidental shooting results in the death of a woman and the arrest of grandson - News - Plaquemine Post South - Plaquemine , LA"
"https://givemeliberty01.com/tag/5-gun-myths-that-need-to-diehorribly/","","2017-11-08 00:00:00","5 Gun Myths That Need To Die … Horribly"
"https://givemeliberty01.com/2017/11/07/5-gun-myths-that-need-to-diehorribly/","https://givemeliberty01.com/2017/11/07/5-gun-myths-that-need-to-diehorribly/amp/","2017-11-08 00:00:00","5 Gun Myths That Need To Die … Horribly"
"https://givemeliberty01.com/tag/these-myths-need-to-be-killed-then-buried-with-a-stake-through-there-hearts/","","2017-11-08 00:00:00","These myths need to be killed then buried with a stake through there hearts . "
"http://www.newschannel10.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-03 14:00:00","Teenager killed playing Russian roulette - KFDA"
"http://www.kswo.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 01:45:00","Teenager killed playing Russian roulette - KSWO , Lawton , OK - Wichita Falls , TX : News , Weather , Sports . ABC , 24 / 7 , Telemundo"
"http://www.wmbfnews.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-03 14:00:00","Teenager killed playing Russian roulette"
"http://www.WLOX.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 01:30:00","Teenager killed playing Russian roulette - WLOX . com"
"http://www.watchfox29.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 05:30:00","Teenager killed playing Russian roulette"
"http://www.wect.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 04:15:00","Teenager killed playing Russian roulette"
"http://www.WSFA.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 04:15:00","Teenager killed playing Russian roulette"
"http://www.wdam.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 04:15:00","Teenager killed playing Russian roulette"
"http://www.live5news.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 04:15:00","Teenager killed playing Russian roulette - Live5News . com | Charleston , SC"
"http://www.fox19.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 05:15:00","Teenager killed playing Russian roulette"
"http://www.ksla.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-03 13:30:00","Teenager killed playing Russian roulette"
"http://www.hawaiinewsnow.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 16:00:00","Teenager killed playing Russian roulette - Hawaii News Now"
"http://www.WAFF.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 16:00:00","Teenager killed playing Russian roulette"
"http://www.nbc12.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 18:00:00","Teenager killed playing Russian roulette - NBC12 - WWBT"
"http://www.wtvm.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 17:45:00","Teenager killed playing Russian roulette"
"http://www.wbrc.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 17:30:00","Teenager killed playing Russian roulette - WBRC FOX6 News"
"http://www.tucsonnewsnow.com/story/36754526/teenager-killed-playing-russian-roulette","","2017-11-04 18:15:00","Teenager killed playing Russian roulette"
